nombre	marca	tienda	pais	alergenos	additivos	puntuacion_nova	image_url	image_small_url	calorias	energia	grasa	grasas_saturadas	colesterol	carbohidratos	azucares	fibra	proteinas	sal	sodio	calcio	hierro	puntuacion
Pollo asado con jamon, queso y huevo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/024/4093/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/024/4093/front_es.8.200.jpg	54	226	0.7	0.2		1.3	0		10.7	1.3	0.52			
Aceitunas galega con aceite de oliva virgen extra y ajo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/082/000/4975/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/238/082/000/4975/front_es.8.200.jpg														
Pan de molde multicereal sin corteza	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/014/5581/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/5581/front_es.8.200.jpg	381	1594	2	1		82	30		7.8	0.1	0.04			
Dulce de membrillo light	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/020/7975/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/848/000/020/7975/front_es.9.200.jpg	743	3109	82	56		8	8		5	5	2			
Turrón de chocolate negro crujiente	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/193/100/6322/front_es.7.400.jpg	https://images.openfoodfacts.org/images/products/238/193/100/6322/front_es.7.200.jpg														
Tallarines carbonara	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/148/700/7149/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/238/148/700/7149/front_es.6.200.jpg														
Postre de soja natural	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/235/405/300/3487/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/235/405/300/3487/front_es.10.200.jpg	199	833	5	1.9		0.5	0.5		38	3	1.2			
Lonchas para sándwich	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/062/3065/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/062/3065/front_es.8.200.jpg	111	464	5.4	0.78		8.02	0.26		7.6	1.3	0.52			
Cereales con fibra sabor chocolate	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/082/000/4548/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/238/082/000/4548/front_es.8.200.jpg	199	833	13	4.4		3	0.5		17	1.5	0.6			
Sazonador al horno pollo barbacoa	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/235/405/300/5023/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/235/405/300/5023/front_es.10.200.jpg	199	833	5	2		5	5		38	3	1.2			
Yogur natural azucar de caña	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/087/6560/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/087/6560/front_es.8.200.jpg	374	1565	16.8	5.66		49.9	40.2		5.2	0.58	0.232			
Pan fibra y sesamo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/235/405/300/4682/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/235/405/300/4682/front_es.9.200.jpg														
Bebida almendras zero	Hacendado		España				https://images.openfoodfacts.org/images/products/401/167/600/5707/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/401/167/600/5707/front_es.9.200.jpg														
Infusion fria sabor mandarina	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/021/3211/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/848/000/021/3211/front_es.9.200.jpg	76	318	2	1.3		11.4	11.4		3	0.1	0.04			
Estrellas	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/932/0361/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/848/000/932/0361/front_es.9.200.jpg	617	2582	51	6.4		10	8.3		25	0.79	0.316			7
Leche semidesnatada +proteinas	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/051/1942/front_fr.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/051/1942/front_fr.4.200.jpg	262	1096	21.9	15.6		3.4	2.2		12.7	0.95	0.38			12
Maria integral	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/036/2018/front_fr.10.400.jpg	https://images.openfoodfacts.org/images/products/848/000/036/2018/front_fr.10.200.jpg	489	2046	27	3.3		51	51		11	0	0			
Crema de setas	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/238/084/900/2624/front_es.8.400.jpg	https://images.openfoodfacts.org/images/products/238/084/900/2624/front_es.8.200.jpg										0	0			
Zumo de pomelo	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/018/1022/front_es.15.400.jpg	https://images.openfoodfacts.org/images/products/848/000/018/1022/front_es.15.200.jpg	364	1523	32	5		0.5	0.5		19	0.13	0.052			3
Sopa de gallina	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/018/4337/front_en.10.400.jpg	https://images.openfoodfacts.org/images/products/848/000/018/4337/front_en.10.200.jpg	192	803	10.1	1.77		0.3	0		25	14	5.6			13
Chocolate negro 0%	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/016/4155/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/016/4155/front_es.21.200.jpg	59	247	0.2	0		10	4.2		4	0.8	0.32			-4
Vegetable chips	Hacendado	Mercadona	España	en:eggs,en:gluten,en:soybeans	en:e142,en:e160a,en:e171,en:e200,en:e202,en:e282,en:e330,en:e422,en:e460,en:e466	4	https://images.openfoodfacts.org/images/products/085600/front_en.3.400.jpg	https://images.openfoodfacts.org/images/products/085600/front_en.3.200.jpg														
Whey +proteinas chocolate	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/011/3542/front_en.8.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/3542/front_en.8.200.jpg	2	8	0	0		0	0	1.1	0	0	0			
Vino tinto gran viñedo	Hacendado	Mercadona	España	en:gluten,en:nuts,en:soybeans	en:e306	4	https://images.openfoodfacts.org/images/products/848/000/009/3783/front_en.19.400.jpg	https://images.openfoodfacts.org/images/products/848/000/009/3783/front_en.19.200.jpg	415	1736	10	3.6		72	39	3.1	7.3	1.2	0.48			17
Sándwich helado vainilla	Hacendado		España	en:celery	en:e202,en:e211	3	https://images.openfoodfacts.org/images/products/385/537/720/0280/front_en.3.400.jpg	https://images.openfoodfacts.org/images/products/385/537/720/0280/front_en.3.200.jpg														
Anitines tomate & orégano	Hacendado	Mercadona	España	en:milk	en:e509	4	https://images.openfoodfacts.org/images/products/848/000/051/1058/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/051/1058/front_es.21.200.jpg	357	1494	29	19		0.1	0.1		24	1.8	0.72			16
Galets	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/020/6190/front_es.19.400.jpg	https://images.openfoodfacts.org/images/products/848/000/020/6190/front_es.19.200.jpg	79	331	1.4	0.9		14.5	14.2		2.2	0.08	0.032			2
Te rojo	Hacendado	Mercadona	España	en:eggs,en:gluten,en:soybeans	en:e160a,en:e160ai,en:e202,en:e422,en:e471	4	https://images.openfoodfacts.org/images/products/085635/front_en.5.400.jpg	https://images.openfoodfacts.org/images/products/085635/front_en.5.200.jpg														
Té estilo inglés	Hacendado	Mercadona	España	en:milk,en:soybeans	en:e340,en:e410,en:e412	4	https://images.openfoodfacts.org/images/products/848/000/010/1839/front_es.18.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/1839/front_es.18.200.jpg	191	799	18	16		6	3		2	0.1	0.04			12
Pan de molde semillas y pipas de calabaza	Hacendado		España																			
Tortellini de ricotta y espinacas a los 4 quesos	HACENDADO		España				https://images.openfoodfacts.org/images/products/08633232/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/08633232/front_es.9.200.jpg														
Yogur griego stracciatella	Hacendado	Hacendado	España				https://images.openfoodfacts.org/images/products/848/000/064/5227/front_es.9.400.jpg	https://images.openfoodfacts.org/images/products/848/000/064/5227/front_es.9.200.jpg	94	393	0	0		23	21		0	0	0			5
Minis rellenos de chocolate y avellanas	Hacendado	Mercadona	España		en:e418	4	https://images.openfoodfacts.org/images/products/848/000/023/9198/front_es.32.400.jpg	https://images.openfoodfacts.org/images/products/848/000/023/9198/front_es.32.200.jpg	67	282	1.9	1.7		12	7.8	0.1	0.2	0.1	0.04			2
Cola zero Hacendado	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/848/000/019/7559/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/019/7559/front_es.3.200.jpg														
Caldo para Arros	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/080/7953/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/080/7953/front_es.3.200.jpg	211	883	17	2.6		8.3	1.1		5.5	0.87	0.348			
Tarta de galleta número hacendado	Hacendado		es				https://images.openfoodfacts.org/images/products/010/000/012/3004954/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/010/000/012/3004954/front_es.3.200.jpg	226	946	14	1.3		18	8.6		5.3	0.91	0.364			
Zumo tomate Hacendado	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/016/0287/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/016/0287/front_es.3.200.jpg	26	109	0.1	0		5.1	4		0.8	0.5	0.2			
Pizza campesina	Hacendado	Hacendado	es				https://images.openfoodfacts.org/images/products/848/000/011/3863/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/3863/front_es.3.200.jpg	1	4	0	0		0.20000000298023	0		0	0	0			
Salteado de patatas y salchichas	Hacendado	Mercadona	Francia,España			1	https://images.openfoodfacts.org/images/products/843/700/462/1139/front_es.29.400.jpg	https://images.openfoodfacts.org/images/products/843/700/462/1139/front_es.29.200.jpg	14	57	0.4	0		0.7	0.3	1.5	1.8	0.01	0.004		0.0022	-7
Mojo canario suave	Hacendado	Mercadona	es				https://images.openfoodfacts.org/images/products/238/148/100/8647/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/148/100/8647/front_es.3.200.jpg	0	0												
Chocolate con almendras troceadas	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/039/6624/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/6624/front_es.4.200.jpg														
Poke salmon	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/028/9810/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/028/9810/front_es.3.200.jpg	31	130	0	0		7.3	7.3		0	0.03	0.012			10
Fruta + leche mediterraneo	hacendado		España				https://images.openfoodfacts.org/images/products/848/000/028/9773/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/028/9773/front_es.3.200.jpg	31	130	0	0		7.3	7.3		0.1	0.03	0.012			10
